date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-01-26 23:59:24,JillManns1,Poshpaul,0,0,Totally Paul 💯,,,https://twitter.com/JillManns1/status/1221583446226669568
2020-01-26 23:59:18,marianalevstek,kay_fralick,0,0,Hiii hunii🤗 good night!! it was a beautiful sunday and weekend xxxx,,,https://twitter.com/marianalevstek/status/1221583423569121283
2020-01-26 23:59:04,BeenXavier,,0,0,I hope Micheal Murray make a new character crazier than T5 steve just to shit on this weak ass crowd,,,https://twitter.com/BeenXavier/status/1221583363888308224
2020-01-26 23:59:02,SuaeKravitz,,0,0,"Feeling the same way I felt when Micheal Jackson died, it’s different when a person who impacted everybody dies 😢",,,https://twitter.com/SuaeKravitz/status/1221583357215113217
2020-01-26 23:59:02,paulerakhifu,danieI_ike,0,0,Literally almost everyone. We only knew micheal Jordan and kobe Bryant back then when we were kids. That’s why most people still like the lakers till now.,,,https://twitter.com/paulerakhifu/status/1221583354564415488
2020-01-26 23:58:51,imanaturalblue,,1,0,yungblud -dominic harrison -adam warrington -micheal rennie ,,,https://twitter.com/imanaturalblue/status/1221583307571433472
2020-01-26 23:58:41,DianeLong22,WestAllenShow,0,1,Agree- Micheal Savages Podcast has excellent ideas on Epidemics and Epidemiology. He’s a BrilliantMan-,,,https://twitter.com/DianeLong22/status/1221583268643917826
2020-01-26 23:58:36,MzWorldTraveler,,0,0,🙃 Micheal Micheal Micheal. #90DayFiance,,#90DayFiance,https://twitter.com/MzWorldTraveler/status/1221583244434513921
2020-01-26 23:57:47,micheal_witsy,iam_knine,1,0,Nigeria mata get as e be ooh... 😂 😂 😂 Dem don use der winsh take spoil am,,,https://twitter.com/micheal_witsy/status/1221583039446355971
2020-01-26 23:57:16,marianalevstek,JillManns1,1,0,I'm glad for you lovely🥰 it was wonderful and great thanks !!! how is your night?,,,https://twitter.com/marianalevstek/status/1221582912627318786
2020-01-26 23:57:10,deadi42,Intermittent_IQ,0,0,Behind wilt chamberlin and micheal jordan.,,,https://twitter.com/deadi42/status/1221582883695026177
2020-01-26 23:56:48,NnekaOtubo,,0,0,This feels like the day Micheal Jackson died. The world is sad 😑😢,,,https://twitter.com/NnekaOtubo/status/1221582791315423233
2020-01-26 23:56:45,nigerianboy_,Adewale02,1,2,Micheal Jackson ,,,https://twitter.com/nigerianboy_/status/1221582781567897608
2020-01-26 23:56:11,MMAClinicAngel,,0,0,Classes Monday 1230pm Conditioning with Wayne Scripps 1230pm BJJ with Joe Haynes 615pm Thai with Darren O’Gorman 730pm Boxing with Micheal Fitzgerald 630pm Beg MMA with Olly Battell 730pm Adv MMA with Paul Hines Come along and join in the fun and learn something,,,https://twitter.com/MMAClinicAngel/status/1221582637007065091
2020-01-26 23:55:56,MzWorldTraveler,,0,0,She has to do something. Micheal stfu #90DayFiance,,#90DayFiance,https://twitter.com/MzWorldTraveler/status/1221582573190701058
2020-01-26 23:55:50,JCutrano,micheal_coy,0,0,Bro for real 😂😂😂,,,https://twitter.com/JCutrano/status/1221582549660700672
2020-01-26 23:55:40,ben_dover192,Charleythelad,5,0,I’m pretty sure when Micheal Jordan dies everyone is gonna see the good in him and is gonna be as sad / sadder than Kobe,,,https://twitter.com/ben_dover192/status/1221582509160501254
2020-01-26 23:55:35,marianalevstek,amletcc13,0,0,"Hiii hunn💕💕🤗 I'm very glad for you, I hope you have a very good rest🥰 great thanks😃 I'm very happy",,,https://twitter.com/marianalevstek/status/1221582488931373056
2020-01-26 23:55:22,uglybarnicle025,rofl38rkfj,0,0,I do! Micheal Jackson kidnaps baby Mario and Luigi,,,https://twitter.com/uglybarnicle025/status/1221582432543150083
2020-01-26 23:54:53,citrusbabyy,,0,0,clown doll + micheal gone,,,https://twitter.com/citrusbabyy/status/1221582312745439234
2020-01-26 23:53:13,its_micheal_2_u,MyJassyTy_7,0,0,I have no words. Wow. Spoke it into existence.,,,https://twitter.com/its_micheal_2_u/status/1221581893008797698
2020-01-26 23:53:11,das2gesicht,,0,1,egal-micheal wendler,,,https://twitter.com/das2gesicht/status/1221581881554149376
2020-01-26 23:52:58,JillManns1,kay_fralick,0,0,Hope you had a great weekend Kay. Goodnight lovely 😘,,,https://twitter.com/JillManns1/status/1221581828559134721
2020-01-26 23:52:20,lidiut01,AliceMerchet,0,0,L : Love & hate - Micheal Kiwanuka I : Is it too late for me - Beowül D : Devil's Whisper - Raury I : I do - SZA &amp; Cardi B A : All men are evil - Original God ,,,https://twitter.com/lidiut01/status/1221581669456588803
2020-01-26 23:52:15,ZquezJalilylva,,0,0,Kobe I made a free trial on YouTube tv to see your final game. Kobe if I had to make my own top 5 for myself im bringing you off the bench.. Kobe I never seen Micheal Jordan not will I ever just say your name as a great,,,https://twitter.com/ZquezJalilylva/status/1221581649738993665
2020-01-26 23:52:10,D_E_C,jeffpearlman,0,1,Micheal spoke some truth. Wise words during a tough moment. Blessings to this young King. ,,,https://twitter.com/D_E_C/status/1221581627949633536
2020-01-26 23:51:42,MzWorldTraveler,,0,0,Micheal makes too much money to look so slovenly. #90DayFiance,,#90DayFiance,https://twitter.com/MzWorldTraveler/status/1221581508777074688
2020-01-26 23:51:36,marianalevstek,JillManns1,1,0,I'm here lovely😁❤,,,https://twitter.com/marianalevstek/status/1221581483976118276
2020-01-26 23:51:33,Legority,NightmarePetrol,0,0,MICHEAL,,,https://twitter.com/Legority/status/1221581472613703681
2020-01-26 23:50:59,intelligentBigD,,0,0,International Global NBA Superstar The Greatest Basketball players of my generation top 3 all time Legend RIP Micheal Jordan Wilt Chamberlain and Magic Johnson and Kobe is my all time Kings of Basketball I just cant believe hes gone too soon #kobeBryant,,#kobeBryant,https://twitter.com/intelligentBigD/status/1221581331185971201
2020-01-26 23:50:50,TheLiberal_ie,,0,0,Micheal Martin rules out all possibilities of going into government with Sinn Fein - https://theliberal.ie/micheal-martin-rules-out-all-possibilities-of-going-into-government-with-sinn-fein/,,,https://twitter.com/TheLiberal_ie/status/1221581289716944896
2020-01-26 23:50:36,SugaXOSuga,papasitowiggins,1,0,"Dennis Taylor, Micheal, Brandon, Micheal Brandon de la Cruz I’m with all them.. they are all taken by Suga Suga let me make it clear 😌",,,https://twitter.com/SugaXOSuga/status/1221581234687684608
2020-01-26 23:49:42,_Meechie93,,0,0,This like that time when Micheal Jackson died we all cried 😭🤦🏾‍♂️,,,https://twitter.com/_Meechie93/status/1221581005636718595
2020-01-26 23:49:41,_jiggab,,0,0,The last person death to hit me like this was Micheal Jackson,,,https://twitter.com/_jiggab/status/1221581003522789378
2020-01-26 23:48:54,micheal_cat,,0,0,Check out my broadcast from my PlayStation 4! #PS4live (Call of Duty®: Modern Warfare®) live at,,#PS4live,https://twitter.com/micheal_cat/status/1221580806151426050
2020-01-26 23:48:53,yodarlin__,alaykahfi,1,0,"Man said forced, idk to tell you about that Micheal Jackson fully changed up his skin colour.",,,https://twitter.com/yodarlin__/status/1221580800640081920
2020-01-26 23:47:45,__KingMoolah,,0,0,I ain’t felt like this since Micheal Jackson died smh,,,https://twitter.com/__KingMoolah/status/1221580516442308608
