date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-01-05 22:10:31,jediknight1985,,1,7,"See, I think certain politicians & advisors in Fine Gael, & this goes for Micheál Martin’s Fianna Fáil too, take the humoured toleration of opinions like Eoghan Harris, or Ruth Dudley Edwards, or formerly Kevin Myers, in a plural polity, as some kind of zeitgeist for the times.",,,https://twitter.com/jediknight1985/status/1213945902886506501
2020-01-05 21:38:15,hatecarthieves,KelleherColm,0,0,Please wake Fianna Fáil up and put Varadkar on notice that the people are waiting.,,,https://twitter.com/hatecarthieves/status/1213937779341697024
2020-01-05 21:33:40,Micheal_Lagain,,1,35,"""A pack of deserters, spies and hirelings... the eyes and ears of British intelligence and as natives of the country, they had an intimate knowledge of the people and ferreted out vital information for the army of occupation."" - Fianna Fáil TD Dan Breen’s thoughts on the RIC.",,,https://twitter.com/Micheal_Lagain/status/1213936629175521283
2020-01-05 21:07:08,Irlandaktuell,,0,0,"Leo Varadkar und seine Minderheitsregierung wollen in der restlichen Legislaturperiode bis Frühjahr 2021 nicht mehr nur noch überleben, indem Fianna Fail sich bei Abstimmungen enthält. Der Taoiseach will, dass FF zusammen mit Fine Gael wählt. ",,,https://twitter.com/Irlandaktuell/status/1213929951046569984
2020-01-05 21:05:27,jediknight1985,cajos1,2,0,"Looking at the responses I’m actually of that opinion now too. The disgust about this is widespread. The idea they can pigeonhole the opposition clearly won’t wash. It’s board based. On a side note, this will be a wake up call in Fianna Fáil about Martin’s anti-republicanism.",,,https://twitter.com/jediknight1985/status/1213929528365666304
2020-01-05 20:57:33,rosdub,,1,0,The trial marriage has now been consummated. The opposition have officially joined the government. Pinky and Perky are as one. 'Fine Gael must facilitate Fianna Fáil led Government if Martin wins more seats'- Dara Calleary | http://IrishExaminer.com,,,https://twitter.com/rosdub/status/1213927540009648129
2020-01-05 20:32:46,sylmurphy,Glenna_lynch,0,2,The Scum of the Earth in British Uniform. Are those who suggested this for real? Let's hear from the Lesser Spotted Republican Party FIANNA FÁIL ,,,https://twitter.com/sylmurphy/status/1213921300470743040
2020-01-05 20:24:58,DefenceIreland,robggill,0,0,"Fianna Fáil, Labour &amp; Greens are supposedly working on theirs. Sinn Féin have a doc on neutrality &amp; defence, minimalist though. Fine Gael MEPs produced a good doc a while back designed to fly a kite &amp; see what way wind blows but credibility is shot. Resource commitments are key.",,,https://twitter.com/DefenceIreland/status/1213919340434735106
2020-01-05 20:16:22,BattenFf,,0,1,"Out knocking today with @PaulMcauliffe a lot of people concerned about the proposed rezoning in Santry, their happy to know their Fianna Fail team support them. #GE20 @fiannafailparty",@PaulMcauliffe @fiannafailparty,#GE20,https://twitter.com/BattenFf/status/1213917172973678592
2020-01-05 20:15:15,IrishSunOnline,,0,1,TD Alan Farrell blasts Fianna Fail over failing to tackle issue of vacant homes ,,,https://twitter.com/IrishSunOnline/status/1213916894232752136
2020-01-05 20:08:18,JohnMurphy51,,1,0,Q: What's marginally better than a vote for Fianna Fail? A: A vote for Sinn Fein Why? Cos for that you'll get a whole lot of FF and a little bit of SF. How does that sound to yiz?,,,https://twitter.com/JohnMurphy51/status/1213915144834756609
2020-01-05 19:53:47,nestorpadraig2,HerlihyRonan,1,0,"Fianna Fail can pull the plug at any time and give us an election, if they want to support the government thats fine but they are being hypocritical by criticising a government who would not be in power without their support",,,https://twitter.com/nestorpadraig2/status/1213911492975828996
2020-01-05 19:52:55,AtlantoCeltica,,0,0,Fianna Fáil and Fine Gael must end their satisfaction with partition - Maurice Quinlivan TD https://www.sinnfein.ie/contents/55655,,,https://twitter.com/AtlantoCeltica/status/1213911271575314435
2020-01-05 19:36:08,gasw_,gasw_,1,0,"both claim to be the descendants of the original SF, as do the two main political parties in Ireland, Fine Gael and Fianna Fail",,,https://twitter.com/gasw_/status/1213907048456507392
