date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-01-27 23:55:33,johnclendennen,,3,6,Micheál Martin is the definition of amnesia #CBLive Totally in denial of the mess FF left behind when the Troika rolled into town. Only one party can be trusted in #GE2020 #FineGael ,,#CBLive #GE2020 #FineGael,https://twitter.com/johnclendennen/status/1221944866046906368
2020-01-27 23:51:14,delyncher_irl,AnthonyICHH,0,0,"Guess I'm below average in a #Varadkar Ireland, another reason to not vote #FineGael as if... #SinnFein for change, hand financial responsibilities over to #PearseDoherty &amp; watch Ireland 🇮🇪&amp; your pocket prosper #GE2020 #GeneralElection2020",,#Varadkar #FineGael #SinnFein #PearseDoherty #GE2020 #GeneralElection2020,https://twitter.com/delyncher_irl/status/1221943781722853376
2020-01-27 23:44:38,wildrover4711,,0,1,"@Paschald @ReginaDo @LeoVaradkar You have your pension, now we want ours. #FineGael its time to honour the CE Supervisors Pension Claim. #CBLive20 #nopensionnovote #GE2020",@Paschald @ReginaDo @LeoVaradkar,#FineGael #CBLive20 #nopensionnovote #GE2020,https://twitter.com/wildrover4711/status/1221942118324805632
2020-01-27 23:44:23,KeepinItSureal,rtenews,0,0,He IS the same people. #Ireland #GE2020 #FiannaFail #FineGael #VoteThemOut #NotOnePreference #VoteForChange #BreakTheCycle #Election2020,,#Ireland #GE2020 #FiannaFail #FineGael #VoteThemOut #NotOnePreference #VoteForChange #BreakTheCycle #Election2020,https://twitter.com/KeepinItSureal/status/1221942055687147521
2020-01-27 23:40:03,LeftyIrishBear,,0,0,Leo is a real Liability for #FineGael at this stage #Smug #Aloof #uncaring #GE2020,,#FineGael #Smug #Aloof #uncaring #GE2020,https://twitter.com/LeftyIrishBear/status/1221940967546216449
2020-01-27 23:35:44,natpolicy,,0,8,"Trickle down theory is dead, but no one told @LeoVaradkar. It is totally implausible that #FineGael can cut €8.6 billion out of public spending (for the well-off) and yet magically grow more public money to solve housing and health. #CBLive #GE2020",@LeoVaradkar,#FineGael #CBLive #GE2020,https://twitter.com/natpolicy/status/1221939879099150337
2020-01-27 23:34:05,wildrover4711,ShanahanNuala,0,1,"Fine Gael Candidates, Check, is your name on the naughty list. did you vote against CE Supervisors pension claim in the Dail vote in April 2018. #cblive #nopensionnovote #FineGael @RTENewsNow @BreakfastNT #GE2020",@RTENewsNow @BreakfastNT,#cblive #nopensionnovote #FineGael #GE2020,https://twitter.com/wildrover4711/status/1221939465318469632
2020-01-27 23:25:11,I_S_B_A,,0,0,"@LeadersDebate How can @MichealMartinTD say that we have d most efficient farming model when he, #FiannaFail &amp; #FineGael &amp; #Labour have protected a host of #CARTELS &amp; #AbuseOfDominance in d sector. Come on. #GE20",@LeadersDebate @MichealMartinTD,#FiannaFail #FineGael #Labour #CARTELS #AbuseOfDominance #GE20,https://twitter.com/I_S_B_A/status/1221937224020905984
2020-01-27 23:07:30,richardferris73,,0,0,Hey Leo a false choice is telling us we can have #Fiannafail or #finegael this country is swinging to the left #cblive,,#Fiannafail #finegael #cblive,https://twitter.com/richardferris73/status/1221932773679738882
2020-01-27 23:06:28,deisegok,FineGael,0,1,#cblive #FineGael #justiceforcesupervisors #GE2020 You are making changes for pensioners ??? Honour LCR 2008 recommendation for pension for CE Supervisors and help to ease the financial pressures for the 800 that have already retired with no pension. No ‘contagion’ we have LCR,,#cblive #FineGael #justiceforcesupervisors #GE2020,https://twitter.com/deisegok/status/1221932512588521477
2020-01-27 23:00:24,wildrover4711,,0,1,"@MaryLouMcDonald Supports CE Supervisors, @ReginaDo Why dont #FineGael You have our pension now we want ours. #nopensionnovote #cblive #GE2020",@MaryLouMcDonald @ReginaDo,#FineGael #nopensionnovote #cblive #GE2020,https://twitter.com/wildrover4711/status/1221930989544443904
2020-01-27 22:57:28,owen_farrell,,0,0,"If you want services and houses and all that, you have to be willing to pay for them. If you want more disposable income you’ll have to forgo better services. In reality you can’t have it both ways #GE2020 #cblive #FineGael #Labour #PBP #FiannaFáil",,#GE2020 #cblive #FineGael #Labour #PBP #FiannaF,https://twitter.com/owen_farrell/status/1221930250835308544
2020-01-27 22:56:29,lukewalshs,,0,0,It’s all very well and good for Sinn Fein to make these promises and sucker people in but what do they think will happen when they eliminate our taxes #cblive #FineGael,,#cblive #FineGael,https://twitter.com/lukewalshs/status/1221930001739796481
2020-01-27 22:56:17,wildrover4711,,0,1,#cblive #GE2020 @MaryLouMcDonald supports CE Supervisors Pension Claim. Why dont you. #FineGael PAY UP https://twitter.com/CeGalway/status/1221827613691392001,@MaryLouMcDonald,#cblive #GE2020 #FineGael,https://twitter.com/wildrover4711/status/1221929950334410752
2020-01-27 22:53:19,natpolicy,,0,7,"#FineGael’s tax plan will cut €8.6 billion from public spending over five years (p.108 their Manifesto). Year 1: €599 million; Yr2: €1193m (€594m+€599m); Yr3: €1746m (€1193m+€553m); Yr4: €2278m (€1746m+€532m); Yr5: €2813m (€2278m+€535m) = €8,629m #CBLive #GE2020",,#FineGael #CBLive #GE2020,https://twitter.com/natpolicy/status/1221929203978919936
2020-01-27 22:51:31,pwalshnow,,0,1,"Leo: ""Are we the baddies..?"" #cblive #CBLive20 #FineGael ",,#cblive #CBLive20 #FineGael,https://twitter.com/pwalshnow/status/1221928753238028288
2020-01-27 22:51:17,urlofcork,,0,0,"Ok #FiannaFail wrecked the Economy #FineGael Wrecked our society #SinnFein and its ""Friends"" try to blow up a fair chuck of the country The Left can make promises as they will never have write the cheque Fair summation ?? #cblive #leadersdebate",,#FiannaFail #FineGael #SinnFein #cblive #leadersdebate,https://twitter.com/urlofcork/status/1221928693762809857
2020-01-27 22:49:25,lukewalshs,,0,0,Veradkar seems to be the only one to provide current economic solutions in face of other leader who promise money to the masses #GE2020 #FineGael,,#GE2020 #FineGael,https://twitter.com/lukewalshs/status/1221928223954567168
2020-01-27 22:48:01,DCorkonian,,0,0,"@LeoVaradkar tax breaks for families, what about single tax payers? #cblive #GE2020 #FineGael",@LeoVaradkar,#cblive #GE2020 #FineGael,https://twitter.com/DCorkonian/status/1221927872484532225
2020-01-27 22:47:43,wildrover4711,,0,1,"#FineGael you have your pension, now CE Supervisors want theirs. #nopensionnovote #cblive #GE2020 https://twitter.com/ShanahanNuala/status/1221884376394407936",,#FineGael #nopensionnovote #cblive #GE2020,https://twitter.com/wildrover4711/status/1221927797008097282
2020-01-27 22:46:23,mschiyabelle,,0,2,"I'm a lone parent, carer, civil servant who's renting. I dont want #FineGael tax cuts, I want a home &amp; my mother to attend a hospital that's not a war zone. So sick of Leo &amp; Howlin is speaking sense. #cblive",,#FineGael #cblive,https://twitter.com/mschiyabelle/status/1221927461891514373
2020-01-27 22:44:10,KeepinItSureal,oconnellhugh,0,0,"I’d think @sinnfein would be looking for significant add ons. The good thing is they know if the transfer doesn’t work out, @MurphyEoghan is comfortable running up &amp; down the sidelines in a high vis. He’s been doing it for years. #FineGael #Housing #Homeless #HiVis #Hardhats",@sinnfein @MurphyEoghan,#FineGael #Housing #Homeless #HiVis #Hardhats,https://twitter.com/KeepinItSureal/status/1221926900957925377
2020-01-27 22:42:46,malonealice,,0,0,Communities have been neglected for years by FG/FF. Why wait till people die to invest? #NoVision #FineGael #FiannaFail,,#NoVision #FineGael #FiannaFail,https://twitter.com/malonealice/status/1221926552134475777
2020-01-27 22:42:39,wildrover4711,,0,1,#cblive #nopensionnovote @Paschald you have your pension now CE Supervisors want theirs. #FineGael #rtenews https://twitter.com/catangosul/status/1221891900204077058,@Paschald,#cblive #nopensionnovote #FineGael #rtenews,https://twitter.com/wildrover4711/status/1221926520345763840
2020-01-27 22:28:29,wildrover4711,,0,1,#FineGael Do the right thing. Pay CE Supervisors their long awaited pension claim. #nopensionnovote #cblive #GE2020 https://twitter.com/catangosul/status/1221916033285525504,,#FineGael #nopensionnovote #cblive #GE2020,https://twitter.com/wildrover4711/status/1221922956005314560
2020-01-27 22:27:39,pwalshnow,,1,0,Soon to be former TD and minister for @defenceforces @campaign4kehoe watching #CBLive20 right now... #FineGael #cblive,@defenceforces @campaign4kehoe,#CBLive20 #FineGael #cblive,https://twitter.com/pwalshnow/status/1221922746524979200
2020-01-27 22:25:46,wildrover4711,,0,4,#FineGael are you watching. https://twitter.com/PatriciaSahbani/status/1221916216400531457,,#FineGael,https://twitter.com/wildrover4711/status/1221922270974816257
2020-01-27 22:23:48,Cllr_Gerry,,1,4,Michael Martin and Fianna Fáil closed Templemore.... stopping supply of Gardai to man stations.... Fine Gael opened it ... Garda numbers are increasing year on year #CBLive20 #CBlive #GE2020 #FineGael,,#CBLive20 #CBlive #GE2020 #FineGael,https://twitter.com/Cllr_Gerry/status/1221921775480639488
2020-01-27 22:19:30,DocMartinDub,,0,0,"#FinnaFail sold out the Republic #FineGael are selling off our assets, both have ushered in Corporate governance, allowing corporations get away with paying little or no tax, time to vote them out #cblive #GE2020",,#FinnaFail #FineGael #cblive #GE2020,https://twitter.com/DocMartinDub/status/1221920693329235970
