date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-01-23 23:59:32,Timmyom,Ds08544450,0,0,Coked,,,https://twitter.com/Timmyom/status/1220496318675722241
2020-01-23 23:57:39,LuccketiMandy,WhistleIRL,0,2,It wasn't a Great Famine there was more than sufficient food but it was denied the general populace and exported to England & its colonies it was a politically designed mass hunger and is only fading into the past because it is not properly taught as part of our history in school,,,https://twitter.com/LuccketiMandy/status/1220495845373743104
2020-01-23 23:57:25,Shirleylismore,veritas_paul,1,0,We are all Irish on this island.,,,https://twitter.com/Shirleylismore/status/1220495785026117638
2020-01-23 23:55:39,Shirleylismore,bmcp65,0,0,She does not have British citizenship to renounce! She is an Irish citizen. Why should she declare herself British to then renounce it.,,,https://twitter.com/Shirleylismore/status/1220495341616795649
2020-01-23 23:55:27,Timmyom,CorkCity_Radio,0,0,Bill Clinton is a coke head,,,https://twitter.com/Timmyom/status/1220495289422880769
2020-01-23 23:54:57,wildrover4711,,0,6,"@FineGael @Paschald @ReginaDo @LeoVaradkar @TG4TV You have your Pension, now we want ours. Respect the Labour Court. #election2020 #nopensionnovote #FineGael",@FineGael @Paschald @ReginaDo @LeoVaradkar @TG4TV,#election2020 #nopensionnovote #FineGael,https://twitter.com/wildrover4711/status/1220495162511691777
2020-01-23 23:54:49,Conorthemilkman,katie_atkinxon,0,0,Won't happen then.,,,https://twitter.com/Conorthemilkman/status/1220495128814596097
2020-01-23 23:54:46,paddylepage,EmmaMurphy12150,3,5,"I wouldn't be the slightest bit surprised if he was a prolific substance abuser currently. Note the body language, uncomfortable with the subject, constant swigs of the water...etc",,,https://twitter.com/paddylepage/status/1220495116890267650
2020-01-23 23:53:40,Shirleylismore,WesBez,1,0,But she's not a British citizen.,,,https://twitter.com/Shirleylismore/status/1220494840498094086
2020-01-23 23:53:37,karenke92376773,NewstalkFM,0,0,🤥🤥🤥🤥🤥 @LeoVaradkar I actually liked ya abit when I heard you took drugs before shows your not perfect like everyone else ! ,@LeoVaradkar,,https://twitter.com/karenke92376773/status/1220494828837928963
2020-01-23 23:51:36,shaneod10,Wardy1916,2,0,No answer from Sinn Fein on what they would do with the Defence Forces. Asked multiple times,,,https://twitter.com/shaneod10/status/1220494323034267648
2020-01-23 23:51:31,Timmyom,andyh417,0,1,Not everyone was in Columbia hanging out with a drug lord!,,,https://twitter.com/Timmyom/status/1220494301773340672
2020-01-23 23:50:53,YellowpackC,NewstalkFM,1,0,He's drinking so much water you'd wonder is he on E,,,https://twitter.com/YellowpackC/status/1220494139856510976
2020-01-23 23:49:35,MaryOGrady8,paddymacc1,0,0,As Judge Judy would say the answer is YES or NO,,,https://twitter.com/MaryOGrady8/status/1220493814076530688
2020-01-23 23:49:13,lord_redmond,runyourmouthoff,1,0,Sinn Fein have an army council with active terrorists.,,,https://twitter.com/lord_redmond/status/1220493720992264194
2020-01-23 23:48:49,correctthebs1,AodhanORiordain,0,0,Seriously this is hilarious . Is this clown for real ?? This is better comedy than car pool Karaoke ... watch it seriously . @labour @LeoVaradkar @FinianMcGrathTD @Independent_ie @oconnellhugh @,@labour @LeoVaradkar @Independent_ie @oconnellhugh,,https://twitter.com/correctthebs1/status/1220493619355885573
2020-01-23 23:48:37,decko57,PaxtonMower,0,0,“Line” 😉,,,https://twitter.com/decko57/status/1220493570299305984
2020-01-23 23:47:36,EmmaMurphy12150,NewstalkFM,19,20,"""I am a role model"" says @LeoVaradkar. Perhaps to some @FineGael diehards, but to most other people you're an egotistical self-obsessed a**hole. #GE2020 #TonightVMTV #rtept #primetime",@LeoVaradkar @FineGael,#GE2020 #TonightVMTV #rtept #primetime,https://twitter.com/EmmaMurphy12150/status/1220493313511477250
2020-01-23 23:47:32,decko57,NewstalkFM,0,0,That menu looks delicious.,,,https://twitter.com/decko57/status/1220493296293896199
2020-01-23 23:47:31,derhamaine,irishexaminer,0,0,"@Paschald @LeoVaradkar tax system needs overhauling USC was brought in and sold as a temporary tax, get rid of it full stop. Give us more money in our pockets &amp; scrap LPT is",@Paschald @LeoVaradkar,,https://twitter.com/derhamaine/status/1220493291747147777
2020-01-23 23:46:59,BukowskiBartosz,NewstalkFM,0,0,Well that is embarrassing to watch @IvanYatesNT. You get the answer so move on. Pointless dragging this story like it was the end of the world.,@IvanYatesNT,,https://twitter.com/BukowskiBartosz/status/1220493159924469761
2020-01-23 23:44:55,Jmurphy97,Paul_Foley2,2,0,Good to see representatives of the two main political parities in Ireland debating what really matters. I was worried you might act juvenile and spiteful in a petty attempt to out do each other. Good job guys. #GlobalWarming #Housing #VMTVBigDebate,,#GlobalWarming #Housing #VMTVBigDebate,https://twitter.com/Jmurphy97/status/1220492641084805121
2020-01-23 23:44:55,wildrover4711,,0,4,@FineGael @Paschald @LeoVaradkar Fine Gael give us a reason to vote for you. CE Supervisors - NO PENSION NO VOTE. Respect the Labour Court @TonightVMTV #VMNews #FineGael #ELECTION2020 #NOPENSIONNOVOTE,@FineGael @Paschald @LeoVaradkar @TonightVMTV,#VMNews #FineGael #ELECTION2020 #NOPENSIONNOVOTE,https://twitter.com/wildrover4711/status/1220492640359190528
2020-01-23 23:44:29,ewoodphoto,NewstalkFM,2,0,I never ever use drugs. I grew up in a time when drug taking was on the up in the 70s...LSD and so on. I did not take them because I respected my Parents and did not want to let them down. I've seen some of my friends take them and I felt sorry for them as most of them are dead.,,,https://twitter.com/ewoodphoto/status/1220492528895647744
2020-01-23 23:43:03,JMcDaid7,NewstalkFM,0,0,"Ivan, asking the hard, pointless questions.",,,https://twitter.com/JMcDaid7/status/1220492169489895425
2020-01-23 23:43:00,lenny_rooney,rosecaroline9,1,0,Oh ffs 🙄...,,,https://twitter.com/lenny_rooney/status/1220492158559555584
2020-01-23 23:41:06,kenshortall,SarahLouiseMul2,1,0,Learn how to spell it,,,https://twitter.com/kenshortall/status/1220491680266190848
2020-01-23 23:40:50,HowSoonHathTime,JohnMinihan,0,0,Is he not immature any more?,,,https://twitter.com/HowSoonHathTime/status/1220491609931964418
