date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-02-07 23:57:19,darraghobroin,otuathail,0,0,Ireland may not be bankrupt but it is highly indebted. Ireland is the 2nd highest indebted Western country in the World per capita. Ireland owes > 200 Billion. It has huge Public Service NGO & Social Welfare commitments & very high asylum seeking & EU immigrant Welfare dependents,,,https://twitter.com/darraghobroin/status/1225931579161227264
2020-02-07 23:56:37,KeithMillsD7,eamonn_98,0,0,Yes but it won't be an easy hold.,,,https://twitter.com/KeithMillsD7/status/1225931403642200064
2020-02-07 23:55:54,Circumspecsaver,EubanksRoburt,0,0,"""Thank you for your submission to http://OnlineArabicTranslations.com. All of our translators are currently busy but we will return your translation as soon as a translator becomes free.""",,,https://twitter.com/Circumspecsaver/status/1225931219310989312
2020-02-07 23:55:25,Colm49516158,josephamadigan,0,0,"😂😂😂 Jaysus your desperate. I literally can't stop laughing at that, priceless",,,https://twitter.com/Colm49516158/status/1225931099387371520
2020-02-07 23:54:34,SeanReid4,Sean_OConghaile,1,0,The biggest casualty of this election is not @FineGael but Irish journalism!,@FineGael,,https://twitter.com/SeanReid4/status/1225930886555803649
2020-02-07 23:54:31,gearoidyo,GrainneFerris,1,0,Ask yourself why that is. What are you voting for? More immigration and LGBT? Nothing will change if Sinn Fein get elected. NOTHING.,,,https://twitter.com/gearoidyo/status/1225930872874029062
2020-02-07 23:54:29,Ken_the_Dub,LeoVaradkar,0,0,Game over...,,,https://twitter.com/Ken_the_Dub/status/1225930866309947392
2020-02-07 23:53:46,FaithinDepth,immdaly,0,0,Dopey Fergus O'Dowd still has No.2 Fitzpatrick on some posters even though he's now an independent.,,,https://twitter.com/FaithinDepth/status/1225930684210073600
2020-02-07 23:53:44,billclarke359,LeoVaradkar,0,0,If the current Govt can't solve 10k people homeless and a health service which is absolutely dire you do not deserve to lead any Govt. Come on guys get this all sorted.. 🇮🇪☘🚕🚕🍺,,,https://twitter.com/billclarke359/status/1225930675741765633
2020-02-07 23:53:37,parkadge,LeoVaradkar,0,0,Sinn Féin didn't wreck Ireland,,,https://twitter.com/parkadge/status/1225930647463714816
2020-02-07 23:52:52,keithmagra,LeoVaradkar,0,0,"Deluded you are Leo, you've single handedly wrecked Ireland, I personally hate you I know it's a strong word but for you it's fitting. I wish you the worst and hope your walls tumble down around you.",,,https://twitter.com/keithmagra/status/1225930457910476801
2020-02-07 23:52:27,pevenseybailey,LeoVaradkar,0,0,"You are a glove puppet of the EU, and you will ultimately pay the price, when real Irish People see how you have betrayed them.",,,https://twitter.com/pevenseybailey/status/1225930351652069376
2020-02-07 23:50:12,declanmeehan3,LeoVaradkar,0,0,Having a lovely cup of tea and the Vampires waltz in and suck the air out of the room. Souring the milk as well .,,,https://twitter.com/declanmeehan3/status/1225929787748888576
2020-02-07 23:50:08,BillyLinehan,,0,3,"Cost of Judicial Review could be €400K advises judge to couple re. SHD apartments - undemocratic planning system brought to us by @MurphyEoghan @FineGael Who can safeguard communities and neighbourhoods from rapacious development? Bradys, Old Navan Road #dubw #GE2020",@MurphyEoghan @FineGael,#dubw #GE2020,https://twitter.com/BillyLinehan/status/1225929771118448641
