date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-01-09 23:58:24,Corksouthnews,,0,0,"#TonightVMTV load of rubbish Fianna Fail won't go into goverment with @sinnfeinireland but work together on local councils, oh feck off @DarraghOBrienTD @cooper_m @IvanYatesNT @MaryLouMcDonald @Michael_O_Regan @MichealMartinTD",@sinnfeinireland @DarraghOBrienTD @cooper_m @IvanYatesNT @MaryLouMcDonald @Michael_O_Regan @MichealMartinTD,#TonightVMTV,https://twitter.com/Corksouthnews/status/1215422602006667264
2020-01-09 23:55:02,hughquinn31,ConorMacaodha,0,0,No Equality no Deal,,,https://twitter.com/hughquinn31/status/1215421756581859329
2020-01-09 23:52:49,houndsecho,HoopsIconic,1,0,If the DUP. Do not sign this the 3rd agreement in 2 years then ni is over,,,https://twitter.com/houndsecho/status/1215421198240272385
2020-01-09 23:51:01,HoopsIconic,ConorMacaodha,1,0,"Balls. The constitutional issue dictates the laws, dictates the society we live in and dictates the services we receive. You might be happy living in a bigoted society where one nationality is given special status but i'm not.",,,https://twitter.com/HoopsIconic/status/1215420743074316288
2020-01-09 23:48:15,MichaelHegart13,pokeymarley,1,0,"105 out of 707. Even with 36 Welsh MPs, 74 Scottish MPs and 105 Irish MPs, they didn't even reach 50% of the English MPs sitting at 492. It was an English parliament even with 105 Irish MPs.",,,https://twitter.com/MichaelHegart13/status/1215420049718157312
2020-01-09 23:47:29,houndsecho,ConorMacaodha,0,0,The fact is the DUP have insulted just about everyone in the north and many beyond it's time 4 change,,,https://twitter.com/houndsecho/status/1215419854519513088
2020-01-09 23:43:20,ConorMacaodha,houndsecho,2,0,"Orange and green politics I don’t entertain it. This tit for tat nonsense who’s right and who’s not to me isn’t important. However the people who need a better health service, education etc deserve better. Being Irish , British Catholic Protestant shouldn’t come into it.",,,https://twitter.com/ConorMacaodha/status/1215418811685462016
2020-01-09 23:41:28,HoopsIconic,houndsecho,0,0,Why sign the deal though,,,https://twitter.com/HoopsIconic/status/1215418341277433858
2020-01-09 23:38:50,houndsecho,HoopsIconic,2,0,Don't for get 2 year's ago sf were ready to sign the agreement to get Assembly back up and running and the DUP walk out and again b4 xmas sf were ready to sign new deal and you guist it the DUP walked,,,https://twitter.com/houndsecho/status/1215417676555784193
2020-01-09 23:38:28,ocaithnia1,,0,0,"Irish Language speakers, activist and community sold down the river once again. NO mention of Acht na Gaeilge!!!!! Lets hope @sinnfeinireland @moneillsf @MaryLouMcDonald don’t fall for this nonsense #AchtAnois #nothinglessthanafullact #nevercompromiseonrespect",@sinnfeinireland @moneillsf @MaryLouMcDonald,#AchtAnois #nothinglessthanafullact #nevercompromiseonrespect,https://twitter.com/ocaithnia1/status/1215417587883966464
