date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-01-09 23:58:32,LMaybouy,DavidYoungPA,0,0,Looks like Sinn Fein didn’t learn from the reaction to the February deal.,,,https://twitter.com/LMaybouy/status/1215422637234642950
2020-01-09 23:57:53,DarranMarshall,,1,2,Don’t expect a sitting of the @niassembly in the morning. The Sinn Féin Ard Comhairle isn’t due to meet until lunchtime ,@niassembly,,https://twitter.com/DarranMarshall/status/1215422471165415425
2020-01-09 23:57:33,lordcarsonwest,PaddyShanks,0,0,"Believe this to be absolutely shameless capitulation to Sinn Fein by DUP to save their jobs, disgusted that legislation will be in place, to force the Irish language on those who don't want to accept it..... I await the many future Court cases were Irish language is denied",,,https://twitter.com/lordcarsonwest/status/1215422386905985024
2020-01-09 23:56:47,PaulCarroll15,c0nallmccallig,0,0,"It would need to be much broader than RISE seem able to stomach. It would have to include parties they too easily dismiss - Sinn Fein, SocDems and the Greens. Maybe even (I know, I know) Labour too?",,,https://twitter.com/PaulCarroll15/status/1215422195255644160
2020-01-09 23:55:59,EmmaVardyTV,BBCJayneMcC,10,36,"📢 What happened at Stormont tonight was a dramatic step, a Secretary of State throwing down the gauntlet to Sinn Fein and the DUP. No more tip toeing about. Quite the scenes. ",,,https://twitter.com/EmmaVardyTV/status/1215421995384496128
2020-01-09 23:54:50,Celt891,think__32,0,0,get every1 2 contact sinn fein this is deal gives us nothing if they sign up they betray marty and our community by returning to the staus quo,,,https://twitter.com/Celt891/status/1215421706396938240
2020-01-09 23:53:09,Celt891,chrisadonnelly,3,2,we all need to send a message 2 sinn fein that this deal isnt worth the paper its printed on we get fk ill never vote sinn fein again if they sign up 2 this farce marty would be turning in his grave,,,https://twitter.com/Celt891/status/1215421280750571522
2020-01-09 23:50:37,DavidYoungPA,,1,5,It's understood Sinn Fein's national officer board will meet tomorrow morning. They will make a recommendation to the Ard Chomhairle on whether to accept or reject the deal. The Ard Chomhairle is due to meet in Belfast around lunchtime.,,,https://twitter.com/DavidYoungPA/status/1215420644801830921
2020-01-09 23:46:42,NornEye,bbclaurak,0,1,This is just more fudge to allow Sinn Fein and DUP back into power instead of calling elections so voters can send a stronger message to both parties than they did in GE2019. Two parties who not only wasted 3 years (to the day) but put Northern Ireland back 10,,,https://twitter.com/NornEye/status/1215419658150588416
2020-01-09 23:46:35,voices_stop,voices_stop,0,0,"Fortunately for me I don't vote sinn fein then, Free state are a Disgrace allowing the slaughter of women and children to be conducted from Shannon",,,https://twitter.com/voices_stop/status/1215419629113352198
2020-01-09 23:45:43,jamtapot,MimosahSka,0,0,somehow bring in Sinn Fein so they get united Ireland and job's a good'un,,,https://twitter.com/jamtapot/status/1215419408727838721
2020-01-09 23:45:15,JanLennon11,bbclaurak,0,1,Bit premature the issue for the last 3 years is that Sinn Fein and DUP failed to reach an agreement. I understand Sinn Fein has yet to meet.,,,https://twitter.com/JanLennon11/status/1215419292524654592
2020-01-09 23:43:33,ArchiePurple,BrianPJRowan,1,0,I trust that Doug Beattie's view that the UUP do not take a seat in the Executive prevails over his Leader Steve Aiken's view that they should take a Ministerial position. No small party should provide cover for the DUP / Sinn Fein/IRA axis.,,,https://twitter.com/ArchiePurple/status/1215418863531196416
2020-01-09 23:42:38,aidzo365,TomGribbin6,1,0,"Due to boris being a complete untrustworthy clown, he managed to bring the DUP and Sinn Fein together by their mutual distaste for the fool.",,,https://twitter.com/aidzo365/status/1215418634039894016
2020-01-09 23:40:38,ArchiePurple,KevinMageeBeeb,0,0,"Good to have you back on Twitter....we all thought you'd thrown your lot in with one of those Peodo Vigilante groups or was on a Spotlight special assignment, tracing the source of Sinn Fein/IRA's vast fortune.",,,https://twitter.com/ArchiePurple/status/1215418132753534978
2020-01-09 23:37:06,GTWMalley,,0,0,"I think reducing the protestant community to the orange order iss deeply sectarian in itself. SF did that today. I'll say this, anyway, roll on the border poll, and I'll wish it well, but if one wanted it to succeed, you'd keep Sinn Féin well away from it",,,https://twitter.com/GTWMalley/status/1215417240041992192
2020-01-09 23:36:11,scottieboy32,ManachainO,2,0,No they haven't Sinn fein haven't accepted it either YET.,,,https://twitter.com/scottieboy32/status/1215417011943215108
2020-01-09 23:36:06,techcen70555780,,0,0,#worldNews Sinn Fein to consider draft Northern Ireland political deal on Friday http://dlvr.it/RMln1c,,#worldNews,https://twitter.com/techcen70555780/status/1215416989042085888
2020-01-09 23:35:11,alliance_irish,,0,0,"What will the government look like in Stormont does anybody know? Is it just the DUP and Sinn Fein or will any of the Alliance, UUP and SDLP come on board??? #Stormont #Stormontdeal #StormontTalks",,#Stormont #Stormontdeal #StormontTalks,https://twitter.com/alliance_irish/status/1215416759697711104
2020-01-09 23:35:08,AnDubhaltach,bbclaurak,1,0,Who the hell are Sinn Fein and why do they have any say in the matter?,,,https://twitter.com/AnDubhaltach/status/1215416748301783045
2020-01-09 23:34:40,Jonny_BelTel,,0,0,"“The Sinn Fein Ard Chomhairle will meet tomorrow to fully assess it.""",,,https://twitter.com/Jonny_BelTel/status/1215416630852882432
2020-01-09 23:34:37,Celt891,MaeveMeabhkerr,0,0,if SinnFein sign up 2 this they will have betrayed the nationalist/republican ppl and marty god fkn help them next election,,,https://twitter.com/Celt891/status/1215416616051191808
2020-01-09 23:34:09,stevieward67,mairiac31,1,0,"Unfortunately tomorrow will go ahead until an executive is in place, only an executive can approve the sending of a letter of intent and I can't see any urgency by Sinn Fein to stop tomorrow's strike, they are not meeting to consider a response until the afternoon",,,https://twitter.com/stevieward67/status/1215416500242276353
2020-01-09 23:31:26,chrisadonnelly,,25,36,"This isn’t a deal that will sit well with Sinn Fein. The Irish Lang Commissioner is a restricted role, nothing on visibility &amp; the British Govt. have thrown money at &amp; indulged DUP pet projects likely to provoke culture rows down the line. Nevertheless, I think a deal happens.",,,https://twitter.com/chrisadonnelly/status/1215415815895470081
2020-01-09 23:31:13,dog_shelf,bbclaurak,0,0,'if Sinn Fein and DUP both agree' What's new?,,,https://twitter.com/dog_shelf/status/1215415762749476865
2020-01-09 23:28:55,RobertH21251293,bbclaurak,4,0,Getting Sinn Fein and the DUP to agree is no easy task. Northern Ireland residents desperately need Stormont back up and running to tackle the huge financial problems in healthcare but with two parties pulling in opposing directions an agreement will be difficult to sustain.,,,https://twitter.com/RobertH21251293/status/1215415181737631745
2020-01-09 23:28:18,gobansko,bbclaurak,0,0,Hahaha if Sinn Fein and DUP agree ....😂🤣🤣 why waste the ink!? ,,,https://twitter.com/gobansko/status/1215415029278760962
2020-01-09 23:24:32,bbclaurak,,118,181,This is a big deal - UK and Irish govts put deal on table for NI that could get Stormont back up and running quickly if Sinn Fein and DUP both agree it ,,,https://twitter.com/bbclaurak/status/1215414078014939137
2020-01-09 23:23:07,SebastianEPayne,,2,11,"DUP have said yes (for the first time in a while). Now all on Sinn Fein. If they accept, Stormont is back tomorrow.",,,https://twitter.com/SebastianEPayne/status/1215413722342215681
2020-01-09 23:20:49,ITVNewsPolitics,,1,8,"The DUP has signalled support for a deal to restore powersharing in Northern Ireland tabled by the UK and Irish governments. Sinn Fein, the other party whose buy-in is a must, has called a meeting of its ruling council to deliberate on the proposals ",,,https://twitter.com/ITVNewsPolitics/status/1215413144593620992
2020-01-09 23:20:27,0nIyThursday,BrianHassan12,2,0,I think the DUP and Sinn Fein are both headed for a few bad elections,,,https://twitter.com/0nIyThursday/status/1215413049961713665
2020-01-09 23:19:43,JakeBarnes61,nealerichmond,1,0,"Hopefully, Sinn Fein will take up an economic portfolio and show the rest of us how things should be done.",,,https://twitter.com/JakeBarnes61/status/1215412867735998464
2020-01-09 23:19:35,RoalandSpiers,ashestodust80,0,0,"Perhaps a bit of public distance from the likes of Hezbollah, Hamas, Iran, corrupt South American despots and Sinn Fein might help.",,,https://twitter.com/RoalandSpiers/status/1215412831664951296
2020-01-09 23:19:24,SebastianEPayne,,2,14,Last thought: why progress now? DUP want to be back in govt after losing almost all its influence in Westminster in the general election. Sinn Fein have lost vote share in recent elections. NI Health service utterly dire. No incentive for anyone to go back to the electorate.,,,https://twitter.com/SebastianEPayne/status/1215412786026745856
2020-01-09 23:19:03,0nIyThursday,brit_ulster,1,0,"But Sinn Fein are getting almost f**k all out of it. Read it. A language commissioner is not an ""irish language act"". Sinn Fein actually look like they might reject the deal ",,,https://twitter.com/0nIyThursday/status/1215412698277666818
2020-01-09 23:18:56,daseymour,,0,0,Why a Stormont deal is likely: DUP suddenly panicking. Sinn Fein sniff a united Ireland. Going to get very nasty.,,,https://twitter.com/daseymour/status/1215412670175813639
2020-01-09 23:17:45,ports57,,0,0,"Deal or no deal at Stormont. The Muppet show goes on. We have statements coming from an Eire minister What's going on.Thought we where part of the UK. An election is useless.Implement direct rule. Oh forgot,Sinn Fein don't want that.Feck them just do it and stop this farce.😡😡",,,https://twitter.com/ports57/status/1215412373198196737
2020-01-09 23:14:18,alexjonesAM1,Kilsally,0,0,Sinn Fein are meeting tomorrow to see how many can speak more than 10 words of Irish. ,,,https://twitter.com/alexjonesAM1/status/1215411503693795328
2020-01-09 23:11:53,UazmiWorld,,0,0,DUP indicates it will back deal to restore Stormont powersharing. 🔴 #news Sinn Fein has called a meeting of its ruling council to discuss the proposals. ,,#news,https://twitter.com/UazmiWorld/status/1215410897746911233
2020-01-09 23:11:29,chief8955,duponline,3,0,What has Sinn Fein conceded on?,,,https://twitter.com/chief8955/status/1215410797263958017
2020-01-09 23:10:28,Katy_Scarletta,,0,2,"DUP accept governments' draft agreement to restore Stormont, Sinn Fein 'studying' text http://shr.gs/0yEvxNI Arlene Foster said they would not have agreed to Irish language legislation as set out by the culture minister Caral Ni Chuilin in 2015.",,,https://twitter.com/Katy_Scarletta/status/1215410540127965184
2020-01-09 23:09:48,ncham65,mairiac31,0,0,Very quiet from Sinn Fein.,,,https://twitter.com/ncham65/status/1215410373714751489
2020-01-09 23:09:30,eugene_doherty,voices_stop,0,0,I would love to go up to him and if he's related to the Martin fellow from the Sinn Fein,,,https://twitter.com/eugene_doherty/status/1215410296208138241
2020-01-09 23:09:19,Fornenest,BBCNewsNI,1,0,Sinn Fein have to stall for time until the IRA terrorists give them their instructions.,,,https://twitter.com/Fornenest/status/1215410251870150658
2020-01-09 23:08:39,ClodaghSnarks,gtmag2,0,0,Someone who has since muted me claimed Sinn Fein shut down Stormont. I pointed out why. A flood of people did not take it too well. Most of them seem to have given up by now. ,,,https://twitter.com/ClodaghSnarks/status/1215410082105765889
2020-01-09 23:07:11,onepercenter13,,0,0,"The North of Ireland.......DUP accept governments' draft agreement to restore Stormont, Sinn Fein 'studying' text https://www.belfasttelegraph.co.uk/news/northern-ireland/dup-accept-governments-draft-agreement-to-restore-stormont-sinn-fein-studying-text-38849112.html?fbclid=IwAR1PomUccV6alxUP2E-PeIS4Oqzxw981q5iJujszsfyr298L7WMrycSD-xo",,,https://twitter.com/onepercenter13/status/1215409711731879937
2020-01-09 23:06:51,0nIyThursday,,3,1,"If this is anything like a victory for Provisional Sinn Fein, then why the need for this extremely guarded statement? Good chance that PSF might reject the deal. ",,,https://twitter.com/0nIyThursday/status/1215409629318012930
2020-01-09 23:06:41,ElliotSpeller2,SiobhanFenton,1,0,"The UK keep giving in to Sinn Féin again and again, so weird",,,https://twitter.com/ElliotSpeller2/status/1215409585877594113
2020-01-09 23:05:17,OMallon,sinnfeinireland,0,0,"Sinn Féin has the Irish Language concessions they wanted. Seems the Petition of Concern changes are in the right direction as well. Hold ups for SF may be around provisions for ex-soldiers, but otherwise, seems like an overall win for SF here. #Stormont",,#Stormont,https://twitter.com/OMallon/status/1215409235850383360
2020-01-09 23:05:09,NI_Kopite,duponline,2,0,Get the deal done and let’s get Northern Ireland working again. The Union is stronger when Northern Ireland / Stormont is working and everyone feels welcome. Onus on Sinn Fein and supporters now to show that Irish Language legislation won’t be abused/misused provocatively.,,,https://twitter.com/NI_Kopite/status/1215409201264107528
2020-01-09 23:05:05,BBCNewsNI,,10,12,Stormont Talks: DUP and Sinn Féin react to the draft deal to restore power-sharing ,,,https://twitter.com/BBCNewsNI/status/1215409185199984641
2020-01-09 23:02:50,jon_macd,brgnmcmns,1,2,Not that Sinn Fein will use it that much - unless Decky Kearney is drafting it for them . Not one of the rest can speak a word of it other than “ GAMOGGA MR SPEAKER” #Stormont,,#Stormont,https://twitter.com/jon_macd/status/1215408619677782018
2020-01-09 23:02:41,BBCmariamc,CoulterEdel,2,0,"Mary Lou McDonald ""We are studying the text and will give it careful consideration. The Sinn Féin Ard Chomhairle will meet tomorrow to fully assess it.""",,,https://twitter.com/BBCmariamc/status/1215408580750462976
2020-01-09 23:01:38,AnCamcheachta,NotThatBigIan,1,0,"""Over 50 per cent of the RIC in Belfast are Roman Catholics, mainly from the South, and many of them are known to be related to Sinn Fein."" - Dawson Bates, UUP ",,,https://twitter.com/AnCamcheachta/status/1215408317071347713
2020-01-09 23:00:46,scottieboy32,ManachainO,1,0,"Sinn fein have got exactly what they wanted, Ulster Scots doesn't cover it vast majority of Unuonists have no intrest in it.",,,https://twitter.com/scottieboy32/status/1215408100087422981
