date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-01-19 23:27:17,PFQMUSIC,tensplenty1,0,0,"Interesting piece about the shallow, self-serving obsessions of #FineGael #GE2020",,#FineGael #GE2020,https://twitter.com/PFQMUSIC/status/1219038651142852608
2020-01-19 23:24:49,KeepinItSureal,IrishTimes,0,0,"I’m not sure why, spoofing is what they stand for. #FineGael #GE2020",,#FineGael #GE2020,https://twitter.com/KeepinItSureal/status/1219038029274341377
2020-01-19 23:20:46,RSMolloy,FineGael,1,0,@FineGael will continue to deliver on #Brexit. Stick with winning team @simoncoveney @HMcEntee @nealerichmond #LookForward #FineGael Don’t risk it with #recklessFF,@FineGael @simoncoveney @HMcEntee @nealerichmond,#Brexit #LookForward #FineGael #recklessFF,https://twitter.com/RSMolloy/status/1219037011979460608
2020-01-19 23:08:18,KeepinItSureal,jsphbnkn,0,0,How about just not putting him down at all? #NotOnePreference #FineGael #FiannaFail #VoteThemOut #GE2020,,#NotOnePreference #FineGael #FiannaFail #VoteThemOut #GE2020,https://twitter.com/KeepinItSureal/status/1219033872769462274
2020-01-19 23:03:54,PaddyWa21428649,MikeyKennelly1,0,0,"Fantastic turnout of support for Mike Kennelly in Tarbert today, great reaction on the doorsteps #kennellyforkerry, #FineGael #GE2020",,#kennellyforkerry #FineGael #GE2020,https://twitter.com/PaddyWa21428649/status/1219032766060298241
2020-01-19 22:43:51,mschiyabelle,,0,2,Don't you just love publicly paid elected representatives who disdain voters @FineGael Wouldn't it be lovely if voters just gave the O So Smug &amp; Entitled #FineGael what they deserve in #GE2020,@FineGael,#FineGael #GE2020,https://twitter.com/mschiyabelle/status/1219027718337171457
2020-01-19 22:31:06,Southernalien72,,1,0,No is going to fuck the country worse than #FiannaFail and #FineGael have done with the help of #greenparty and #Labour have done in the last 20 years ...Vote for Change,,#FiannaFail #FineGael #greenparty #Labour,https://twitter.com/Southernalien72/status/1219024512819265537
2020-01-19 22:19:10,Seanfhear59,ColmBurkeTD,0,1,I take it #FineGael candidates are not popular since they adopted a policy of recalling the #BlackAndTans to dump the homeless in a skip.,,#FineGael #BlackAndTans,https://twitter.com/Seanfhear59/status/1219021506681954306
2020-01-19 21:35:13,KeepinItSureal,garvangrant,0,0,Yeah I’m finding it hard to generate much empathy. I guess my level of empathy is directly related to the amount these people have shown the people of this country. #FineGael,,#FineGael,https://twitter.com/KeepinItSureal/status/1219010449255096320
2020-01-19 21:24:16,kpgumbo,sgallagher123,1,0,"Housing is in crisis, Homelessness is in crisis, Crime is in crisis, National debt is in crisis, Insurance costs, What am I missing #FineGael #FiannaFail",,#FineGael #FiannaFail,https://twitter.com/kpgumbo/status/1219007692880142336
2020-01-19 21:09:14,lennonsghirl,,65,337,This is the action that’s needed! Cut them down! Delighted to call this strong woman my friend! #finegael #limerick #GE20 #GE2020,,#finegael #limerick #GE20 #GE2020,https://twitter.com/lennonsghirl/status/1219003909932494849
2020-01-19 20:26:06,Southernalien72,,1,0,Choosing #fiannafailparty over #FineGael is like switching from #RTE1 to #Rte2 ''Same shite Different channel #GE2020 @garvangrant,@garvangrant,#fiannafailparty #FineGael #RTE1 #Rte2 #GE2020,https://twitter.com/Southernalien72/status/1218993054792798208
2020-01-19 20:19:36,PFQMUSIC,bazyjonesy,0,0,He still hadn’t realised that people are completely sick of him and exhausted with his self-promotion. The replies to this cringey tweet are hilarious. #Varadkar #GE2030 #FineGael ,,#Varadkar #GE2030 #FineGael,https://twitter.com/PFQMUSIC/status/1218991417307082755
2020-01-19 19:53:26,pjmujcas,FineGael,0,0,How many peope on hospital trolleys today ? Hiw many on hospital waiting lists ? No vote from my house for FF FG or Lab . #ge2020 #finegael #RTEbias #rte @irishtimes #irishtimes #josephamadigan,@IrishTimes,#ge2020 #finegael #RTEbias #rte #irishtimes #josephamadigan,https://twitter.com/pjmujcas/status/1218984834590265345
2020-01-19 19:52:09,lennonsghirl,,0,22,So @FineGael in limerick decided it would be a great idea to cover up the health check / breast check poster for St Joseph's clinic. Completely shameful and immoral. Thanks to Mary Cahillane Vallely for raising on fb tonight #finegael #limerick #GE2020 #GE20 #carecantwait,@FineGael,#finegael #limerick #GE2020 #GE20 #carecantwait,https://twitter.com/lennonsghirl/status/1218984509397442560
2020-01-19 18:55:01,thestudentbus,,0,1,Fine Gael legacy. New statue for Leinster House. #FineGael #FG,,#FineGael #FG,https://twitter.com/thestudentbus/status/1218970131046465536
2020-01-19 18:49:00,LRJbrun,,1,0,Do you know who you will be voting for in the general election? #GE2020 #GE20 #GeneralElection #FineGael #FiannaFail #SinnFein #Labour #Greens #SocialDemocrats #PBP,,#GE2020 #GE20 #GeneralElection #FineGael #FiannaFail #SinnFein #Labour #Greens #SocialDemocrats #PBP,https://twitter.com/LRJbrun/status/1218968618588889089
