date,username,to,replies,retweets,text,mentions,hashtags,permalink
2020-02-07 23:58:20,trumplestiltsk8,HumanismReason,0,0,We're going to be importing nuclear from UK and a France regardless of whether ppl agree or disagree with you.,,,https://twitter.com/trumplestiltsk8/status/1225931834271453184
2020-02-07 23:56:37,KeithMillsD7,eamonn_98,0,0,Yes but it won't be an easy hold.,,,https://twitter.com/KeithMillsD7/status/1225931403642200064
2020-02-07 23:54:02,Lummers12,AidenCarthy,1,0,😂😂and your surprised,,,https://twitter.com/Lummers12/status/1225930750299705346
2020-02-07 23:52:26,daltoki_,mire_daly,1,1,"Naysayers and ""economists"" rubbished the idea of reopening the railway from Limerick to Athenry as a white elephant though the local communities persisted. The data doesnt lie this is a real success. Reopen WRC to Sligo. @greenparty_ie @Shane_RossTD @SeanCanney",@greenparty_ie @SeanCanney,,https://twitter.com/daltoki_/status/1225930348854423557
2020-02-07 23:49:44,eamonn_98,KeithMillsD7,1,0,You think Grealish holds in Galway West?,,,https://twitter.com/eamonn_98/status/1225929667938574336
2020-02-07 23:49:41,teabutton,davitter,0,0,I have never been more proud to knock on doors for @rodericogorman in #DublinWest asking people to vote for @greenparty_ie #WantGreenVoteGreen,@rodericogorman @greenparty_ie,#DublinWest #WantGreenVoteGreen,https://twitter.com/teabutton/status/1225929654864879616
2020-02-07 23:44:17,JohnAdamsArtist,,0,0,@JohnAdamsArtist has to sweep his Rahilly St in Cobh regularly because @Corkcoco don’t clean our streets. @FineGael @fiannafailparty control everything but do less and charge more every year. @echolivecork @NeilRedFM @greenparty_ie @OpinionLine96 @irishexaminer @CobhNews,@JohnAdamsArtist @Corkcoco @FineGael @fiannafailparty @echolivecork @NeilRedFM @greenparty_ie @OpinionLine96 @irishexaminer @CobhNews,,https://twitter.com/JohnAdamsArtist/status/1225928298745729027
2020-02-07 23:43:30,1TommyBurke,stevensgreen1,0,0,Best of luck tomorrow 👍🏼,,,https://twitter.com/1TommyBurke/status/1225928101353398272
2020-02-07 23:42:59,mire_daly,,2,7,The rail review finally has come out.. @cosaingalway @RailDerry @IRLRailDev @IrishRail @IrishRailInside @IRLWestOnTrack @RailEquality @NewsAthenry @AthenryTidyTown @tuamchamber @ClaremorrisCmbr @greenparty_ie @sinnfeinireland @LouisOHaraSF @GalwayCityCars,@cosaingalway @RailDerry @IRLRailDev @IrishRail @IrishRailInside @IRLWestOnTrack @RailEquality @NewsAthenry @AthenryTidyTown @tuamchamber @ClaremorrisCmbr @greenparty_ie @sinnfeinireland @LouisOHaraSF @GalwayCityCars,,https://twitter.com/mire_daly/status/1225927970105307137
2020-02-07 23:42:15,theirishmega,truthbetold_irl,0,0,They haven’t finished destroying that yet. Only half way there.,,,https://twitter.com/theirishmega/status/1225927787770454017
